2056275|2026-04-20|08:00|IN
2056275|2026-04-20|13:00|OUT
2056275|2026-04-21|08:00|IN
2056275|2026-04-21|13:00|OUT
2056275|2026-04-22|08:00|IN
2056275|2026-04-22|13:00|OUT
2056275|2026-04-23|08:00|IN
2056275|2026-04-23|13:00|OUT
2056275|2026-04-24|08:00|IN
2056275|2026-04-24|13:00|OUT
2056275|2026-04-25|08:00|IN
2056275|2026-04-25|13:00|OUT
2056276|2026-04-20|09:00|IN
2056276|2026-04-20|14:00|OUT
2056276|2026-04-21|09:00|IN
2056276|2026-04-21|14:00|OUT
2056276|2026-04-22|09:00|IN
2056276|2026-04-22|14:00|OUT
2056276|2026-04-23|09:00|IN
2056276|2026-04-23|14:00|OUT
2056277|2026-04-20|10:00|IN
2056277|2026-04-20|14:00|OUT
2056277|2026-04-21|10:00|IN
2056277|2026-04-21|13:00|OUT
2056277|2026-04-22|10:00|IN
